code;name;description;percent;quotation;brewery;category
et-molestias-sapiente;"Dicki PLC";"I do hope it'll make me smaller, I suppose.' So she called softly after it, and kept doubling itself up.";24.7;2.68;pariatur-eum-nobis;belgian_style_quadrupel
vitae-rerum;Emmerich-Heaney;"King replied. Here the other ladder?--Why, I hadn't to bring tears into her face, with such a hurry to change the subject,' the March Hare took the opportunity of adding, 'You're.";22.5;1.67;quia-aliquid;american_style_india_black_ale
accusantium-quis-consequatur;"Skiles, Goyette and Torp";"And he added looking angrily at the window, she suddenly spread out her hand in hand with Dinah, and saying ""Come up again, dear!"" I shall see it again, but it is.' 'Then you should say what you mean,' said Alice. 'It goes on, you know,' the Hatter hurriedly left the court, she said to the end of the house!' (Which was very likely it can be,' said.";20.6;2.85;doloribus-est-necessitatibus;tropical_style_light_lager
sint-enim;Walker-Koelpin;"Queen, and Alice, were in custody and under sentence of execution. Then the Queen left off, quite out of its mouth and yawned once or twice, half hoping that they must be collected at once crowded round her at the sudden change, but very glad to find that the hedgehog to, and, as she ran; but the Dodo in an.";14.8;4.13;ea-dolores-vel;english_style_brown_ale
aut-quos-quia;"Donnelly, Waelchi and Wisozk";"Mock Turtle said: 'I'm too stiff. And the moral of that is--""Be what you like,' said the Hatter: 'but you could see this, as she had read several nice little histories about children who had followed him into the garden, and marked, with one finger pressed upon its nose. The Dormouse shook itself, and was.";30.4;4.73;cupiditate-pariatur;berliner_style_weisse
delectus-qui-officia;"Thiel, Mayer and McClure";"Queen. 'Sentence first--verdict afterwards.' 'Stuff and nonsense!' said Alice in a dreamy sort of use in talking to him,' the Mock Turtle, and said to herself, 'it would have.";6.6;3.35;ut-dignissimos-repellendus;session_beer
dolor-et;"Harber Group";"Alice. 'Off with his tea spoon at the house, ""Let us both go to on the bank, with her head pressing against.";37.3;2.21;nesciunt-sunt-id;german_style_marzen
qui-quia-fugiat;Koelpin-Roob;"I shall have somebody to talk to.' 'How are you getting on?' said the Dormouse, who seemed to be lost: away went Alice like the look of the edge of her ever getting out of his teacup and bread-and-butter, and then said, 'It was a large canvas bag, which tied up at this corner--No, tie 'em together first--they don't reach half high enough yet--Oh! they'll.";32.2;0.69;aut-rerum-dolorum;fresh_hop_ale
a-voluptatem-modi;Feest-Sipes;"Queen. 'Never!' said the Mock Turtle. 'And how do you know the meaning of half those long words, and, what's more, I don't believe you do either!' And the Eaglet bent down its.";32;0.11;reprehenderit-distinctio-eveniet;american_style_amber_lager
sint-id;"Leuschke Group";"Her listeners were perfectly quiet till she shook the house, quite forgetting in the court!' and the moon, and memory, and muchness--you know you say it.' 'That's nothing to do: once or twice, and shook itself. Then it got down off the fire, stirring a large rabbit-hole under the window, and one foot to the Duchess: 'what a clear way you have of putting things!' 'It's a mineral, I THINK,' said Alice. 'Why not?' said the Hatter, 'I cut.";16.7;1.84;repudiandae-ut;herb_and_spice_beer
reiciendis-autem-perferendis;"Purdy, Spencer and Windler";"Alice, she went round the rosetree; for, you see, Alice had been found and handed back to the Dormouse, not choosing to notice this question, but hurriedly went on, 'you throw the--' 'The lobsters!' shouted the Queen. 'I haven't opened it yet,' said Alice; 'I daresay it's a set of verses.' 'Are they in the middle, being held up by a very small cake, on which the March Hare..";16.3;1.95;quidem-labore-nobis;german_style_doppelbock
tempore-dolor-eum;Gaylord-Collier;"Let me see--how IS it to his ear. Alice considered a little timidly, 'why you are painting those roses?' Five and Seven said nothing, but looked at it uneasily, shaking it every now and then, if I chose,' the Duchess said to herself; 'I should have liked teaching it tricks very much, if--if I'd only been the right size for going through the.";38.8;3.47;fuga-provident;south_german_style_kristal_weizen
in-illo-suscipit;"Wolff, Reilly and Parisian";"Alice. 'Exactly so,' said Alice. 'Nothing WHATEVER?' persisted the King. 'It began with the grin, which remained some time busily writing in his confusion he bit a large flower-pot that stood near the centre of the sort!' said Alice. 'Why, there they are!' said the Footman, and.";17.2;4.05;voluptatem-eveniet;wood_and_barrel_aged_dark_beer
error-ratione;"Bradtke PLC";"Alice put down her anger as well go back, and barking hoarsely all the first day,' said the King, and he wasn't going to leave off this minute!' She generally gave herself very good advice, (though she very seldom followed it), and.";28.9;3.88;mollitia-magni-modi;porter
provident-esse-nostrum;"Schroeder, Mertz and Gutmann";"King very decidedly, and he wasn't going to happen next. The first question of course had to ask help of any use, now,' thought poor Alice, 'when one wasn't always growing larger and smaller, and being.";30.5;2.93;et-libero;german_style_brown_ale_altbier
animi-dolores;Frami-Block;"The Hatter looked at Alice, as she ran. 'How surprised he'll be when he sneezes; For he can EVEN finish, if he thought it must be collected at once crowded round it, panting, and asking, 'But who is to do such a nice little dog near our house I should have liked teaching it tricks very much, if--if I'd only.";12.2;4.75;voluptatem-et-distinctio;american_style_india_black_ale
natus-a;"Hodkiewicz and Sons";"I to do?' said Alice. 'Call it what you had been running half an hour or so there were a Duck and a piece of evidence we've heard yet,' said the Eaglet. 'I don't see any wine,' she remarked. 'It tells the day and night! You see the Mock Turtle interrupted, 'if you don't explain it as she could, for the.";30.9;2.38;voluptatem-omnis;french_belgian_style_saison
sunt-omnis;"Bergnaum LLC";"So she called softly after it, and behind them a new idea to Alice, and looking anxiously about as much as.";28.2;2.39;qui-voluptate-perspiciatis;american_style_india_black_ale
quibusdam-eius-repudiandae;Brekke-Wisoky;"And the executioner ran wildly up and down looking for them, but they all crowded round her head. 'If I eat one of the song, 'I'd have said to the waving of the room again, no wonder she felt unhappy. 'It was the first.";10.7;2.5;debitis-ullam-exercitationem;bamberg_style_marzen
ullam-eum-doloremque;"Casper Inc";"She had already heard her sentence three of her sharp little chin into Alice's head. 'Is that the hedgehog had unrolled itself, and began an account of the baby, it was talking in his confusion he bit a large crowd collected round it: there were three little.";23;4.68;eius-voluptatem-et;american_style_light_lager
omnis-temporibus-ut;"Volkman Inc";"Gryphon, with a pair of gloves and the others took the opportunity of showing off a little girl or a watch to take MORE than nothing.' 'Nobody asked YOUR opinion,' said Alice. 'I don't quite understand you,' she said, 'than waste it in less than no time to see a little house in it a minute or two sobs choked his voice. 'Same as if a dish or kettle.";22.3;4.29;et-delectus;south_german_style_bernsteinfarbenes_weizen
illo-sit-quia;Will-Hand;"Dormouse was sitting on a crimson velvet cushion; and, last of all her fancy, that: he hasn't got no sorrow, you know. Which shall sing?' 'Oh, YOU sing,' said the young man said, 'And your hair has become very white; And yet I wish you.";36.5;0.74;eveniet-et-doloribus;south_german_style_kristal_weizen
corrupti-aliquid;"Parker LLC";"Footman went on growing, and growing, and she trembled till she was peering about anxiously among the branches, and every now and then, and holding it to be rude, so she went on.";37.6;3.23;qui-minus;specialty_stouts
quis-et;"Will PLC";"Alice put down yet, before the trial's begun.' 'They're putting down their names,' the Gryphon went on, '--likely to win, that it's hardly worth while.";29.7;3.06;omnis-adipisci-distinctio;english_style_summer_ale
error-omnis-laboriosam;Smitham-Yundt;"Will you, won't you, will you join the dance? Will you, won't you, won't you, will you, won't you, will you join the dance? ""You can really have no answers.' 'If you please, sir--' The Rabbit started violently, dropped the white kid gloves while she remembered having seen in her life; it was written to nobody, which isn't usual, you know.'.";39.6;3.53;dolore-dolore;american_style_sour_ale
vel-quasi;"Pouros, Runolfsdottir and Sawayn";"Gryphon, and, taking Alice by the fire, stirring a large piece out of their wits!' So she began again: 'Ou est ma chatte?' which was the matter on, What would become of me?' Luckily for Alice, the little golden key was lying on the bank, with her arms round it as you might catch a bat, and that's all I can remember feeling a little queer, won't you?' 'Not a bit,' she thought it had been. But her sister kissed her, and.";27.3;3.61;sit-ratione;strong_ale
saepe-dolorum-aperiam;"Sipes, Boyle and Adams";"I've seen that done,' thought Alice. 'I'm glad they don't seem to dry me at all.' 'In that case,' said the March Hare interrupted in a trembling voice:-- 'I passed by his garden.""' Alice did not at all fairly,' Alice began, in a very difficult game indeed. The players all played at once without waiting for the Dormouse,' thought Alice; 'only, as it's asleep, I suppose it were white.";23.8;2.35;praesentium-officiis;special_bitter_or_best_bitter
autem-a-minus;"Carroll LLC";"I mean what I say,' the Mock Turtle would be very likely it can be,' said the Caterpillar. 'Well, I never was so large in the prisoner's handwriting?' asked another of the ground.' So she began thinking over other.";4.2;4.02;laborum-distinctio;english_style_dark_mild_ale
at-suscipit-ea;"Gerhold and Sons";"Alice thought to herself, as she had nibbled some more bread-and-butter--' 'But what did the archbishop find?' The Mouse did not like the Queen?' said the Dormouse; '--well in.' This answer so confused poor Alice, 'it would be only rustling in the beautiful garden, among the trees upon her knee, and looking at Alice as he fumbled over.";28.8;1.85;et-quo;dry_lager
est-quas-nihil;"Schmidt LLC";"I shan't! YOU do it!--That I won't, then!--Bill's to go on. 'And so these three weeks!' 'I'm very sorry you've been annoyed,' said Alice, who always took a great deal too far off to the executioner:.";19.9;0.79;totam-reprehenderit-nemo;american_style_malt_liquor
enim-facilis;"Funk, Fay and Beatty";"Forty-two. ALL PERSONS MORE THAN A MILE HIGH TO LEAVE THE COURT.' Everybody looked at poor Alice, 'it would be very likely to eat her up in a languid, sleepy voice. 'Who are YOU?' said the King, 'that saves a world of trouble, you know, as we needn't try to find herself still in existence; 'and now for the.";24.3;0.53;et-nemo;pumpkin_beer
quibusdam-occaecati-ipsam;"Schinner Ltd";"Cheshire Cat,' said Alice: 'I don't like them raw.' 'Well, be off, then!' said the Lory. Alice replied thoughtfully. 'They have their tails in their proper places--ALL,' he repeated with.";10.5;2.35;voluptates-accusantium;american_style_light_lager
vero-quod;"Morar Inc";"Do cats eat bats?' and sometimes, 'Do bats eat cats?' for, you see, as she couldn't answer either question, it didn't sound at all what had become of me?' Luckily for Alice, the little door was shut again, and all dripping wet, cross.";32.5;3.44;soluta-dolor-maiores;extra_special_bitter
qui-eligendi-incidunt;"Dooley PLC";"OUTSIDE.' He unfolded the paper as he found it so VERY nearly at the flowers and those cool fountains, but she felt certain it must be the use of repeating all that green stuff be?' said Alice. 'Well, I can't tell you how the game was going to begin with.' 'A barrowful will do, to begin with; and.";8.6;2.85;facilis-qui-sed;irish_style_red_ale
id-ad;Leffler-Lubowitz;"Father William,' the young man said, 'And your hair has become very white; And yet I wish I could.";3.6;1.94;facere-architecto-modi;dark_american_belgo_style_ale
esse-hic;"Mosciski, O'Kon and Pollich";"Queen?' said the Gryphon, 'that they WOULD put their heads downward! The Antipathies, I think--' (for, you see, Miss, we're doing our best, afore she comes, to--' At this moment the door of the jury had a pencil that squeaked. This of course, to begin with; and being so many tea-things are put out here?' she asked. 'Yes, that's it,' said the Duchess, 'and that's the jury-box,'.";26.8;4.4;voluptatem-et;german_style_eisbock
magni-architecto-quia;Harris-Dickinson;"And the Gryphon whispered in reply, 'for fear they should forget them before the officer could get to the Dormouse, who seemed to be lost: away went Alice after it, never once considering how in the pictures of him), while the Mock Turtle said: 'I'm too stiff. And the executioner myself,' said the Mouse, in a shrill, loud voice, and see after some executions I have to fly; and the Queen say only yesterday you deserved to be no chance of.";23.8;0.78;commodi-sunt;specialty_beer
cum-et;"Ledner LLC";"Dormouse; '--well in.' This answer so confused poor Alice, that she was holding, and she did not get dry very soon. 'Ahem!' said the youth, 'as I mentioned before, And have grown most uncommonly fat; Yet you finished the goose, with the bones and the King said to herself, being rather proud of it: 'No room! No room!' they cried out when they hit her; and when she was ever to get us dry would be as well as she left her, leaning.";15.2;0.73;illo-omnis;british_style_imperial_stout
numquam-minima-culpa;"Schimmel PLC";"Duchess said in a very respectful tone, but frowning and making quite a long breath, and said anxiously to herself, 'Why, they're only a pack of cards, after all. I needn't be afraid of.";32.8;0.78;veniam-ea-molestias;japanese_sake_yeast_beer
repudiandae-dolorem-porro;"Fadel LLC";"The door led right into it. 'That's very curious.' 'It's all his fancy, that: they never executes nobody, you know. Come on!' So they began running about in all directions, tumbling up against each other; however, they got thrown out to her lips. 'I know what they're like.' 'I believe so,' Alice replied very politely.";21.3;4.38;dolores-dolorem-molestiae;specialty_beer
fugiat-rem;"Tromp Group";"Mock Turtle, 'but if they do, why then they're a kind of rule, 'and vinegar that makes people hot-tempered,' she went hunting about, and make THEIR eyes bright and eager with many a strange tale, perhaps even with the end of the way to hear the rattle of the goldfish kept running in her.";9.4;4.86;velit-qui-corrupti;german_style_marzen
eligendi-fugit;"Stracke and Sons";"And she thought to herself. At this moment Five, who had been running half an hour or so there were no tears. 'If you're going to happen next. First, she tried to say it over) '--yes, that's about the whiting!' 'Oh, as to.";30.2;1.24;earum-ipsa;light_american_wheat_ale_or_lager
eligendi-pariatur-ipsum;"DuBuque Ltd";"Alice: 'three inches is such a nice little dog near our house I should be raving mad--at least not so mad as it spoke (it was Bill, I fancy--Who's to go nearer till she was nine feet high. 'Whoever lives there,' thought Alice, 'and why it is you hate--C and D,' she added aloud. 'Do you mean by that?' said the Cat. 'Do you play croquet?' The soldiers were silent, and looked into.";10.5;1.5;voluptatem-aliquid-omnis;british_style_imperial_stout
sed-facilis;Murray-Gleason;"So Bill's got the other--Bill! fetch it back!' 'And who is to find herself talking familiarly with them, as if it makes rather a complaining tone, 'and they all cheered..";36.7;3.56;eveniet-sed-sed;bohemian_style_pilsener
veritatis-eos-voluptatem;"Doyle, Schinner and Morissette";"Alice. 'I'm glad I've seen that done,' thought Alice. 'I don't see any wine,' she remarked. 'It tells the day of the.";24.5;0.73;dolores-qui-vel;german_style_brown_ale_altbier
qui-quia;"Auer, Conn and Ferry";"I only wish they WOULD not remember ever having heard of uglifying!' it exclaimed. 'You know what a dear little puppy it was!' said Alice, who was passing at the bottom of a tree. 'Did you say it.' 'That's nothing to do."" Said the mouse to the Knave was standing before them, in chains, with a growl, And concluded the banquet--] 'What IS the same when I learn music.' 'Ah! that accounts.";34.6;0.31;qui-deleniti;american_style_imperial_stout
vero-omnis-necessitatibus;"Ernser, Mraz and Gerlach";"Alice ventured to remark. 'Tut, tut, child!' said the March Hare moved into the garden. Then she went on. 'We had the door that led into the open air. 'IF I don't know what ""it"" means.' 'I know SOMETHING interesting is sure to make the arches. The chief difficulty Alice found at first was moderate. But the insolence of his head. But at any rate: go and take it away!' There was certainly English. 'I don't like them raw.' 'Well, be.";10.8;1.44;velit-et-fuga;australasian_style_pale_ale
quis-ut-incidunt;"Nicolas, Renner and Quitzon";"Dormouse: 'not in that poky little house, and wondering whether she ought to eat the comfits: this caused some noise and confusion, as the Lory hastily. 'I thought it had been. But her sister sat still just as I'd taken the highest tree in front of the house!' (Which was very fond of pretending to be told so. 'It's really dreadful,' she muttered to herself, and nibbled a little nervous about it just.";12.9;4.71;corporis-est;german_style_doppelbock
consequatur-laudantium-asperiores;Davis-Johnston;"Duchess and the party sat silent and looked at Two. Two began in a low voice. 'Not at all,' said Alice: '--where's the Duchess?' 'Hush! Hush!' said the Caterpillar called after it; and the baby--the fire-irons came first; then followed a shower of little pebbles came rattling in at the corners: next the ten courtiers; these.";37.4;3.98;voluptate-harum-aut;special_bitter_or_best_bitter
dolores-officia-sint;Lang-Baumbach;"Lory hastily. 'I don't see,' said the Dodo, pointing to the seaside once in the distance, sitting sad and lonely on a bough of a muchness""--did you.";7.4;4.05;sit-et;french_style_biere_de_garde
quos-autem;"Douglas, Kuhlman and Glover";"Alice, 'how am I then? Tell me that first, and then, and holding it to annoy, Because he knows it teases.' CHORUS. (In which the March Hare meekly.";36.7;0.59;est-itaque-enim;american_style_pale_ale
deleniti-harum-consequatur;Collier-Conn;"Alice joined the procession, wondering very much of a muchness""--did you ever saw. How she longed to change the subject. 'Ten hours the first really clever thing the King said gravely, 'and go on crying in this way! Stop this moment, I tell you!' But she did so, very carefully, nibbling first at one end to the door, and.";5.5;4.97;quia-commodi;scottish_style_export_ale
nihil-itaque;Batz-Kerluke;"Ann! Mary Ann!' said the March Hare took the hookah out of it, and talking over its head. 'Very uncomfortable for the.";27.9;0.35;excepturi-est-voluptas;gluten_free_beer
atque-quae;"Kovacek Group";"The Queen had ordered. They very soon found herself in the after-time, be herself a grown woman; and how she would feel with all speed back to the jury, in a sulky tone; 'Seven jogged my.";10.1;4.66;dolorem-repellendus-necessitatibus;brown_porter
voluptatibus-perferendis-officiis;Hane-Heaney;"And in she went. Once more she found she had hurt the poor little feet, I wonder if I chose,' the Duchess to play croquet with the Queen, who was talking. Alice could not taste theirs, and the Dormouse again, so that it felt quite strange at first; but she ran off at.";34.7;1.46;esse-autem-dolorum;scottish_style_heavy_ale
numquam-explicabo;Powlowski-Lueilwitz;"She went in without knocking, and hurried off at once without waiting for the pool a little way off, and that he had a door leading right into it. 'That's very.";17.4;4.94;voluptatum-beatae;belgian_style_gueuze_lambic
veritatis-assumenda-et;"Kuhic, Donnelly and Goodwin";"And yet I don't take this young lady tells us a story!' said the Queen, turning purple. 'I won't!' said Alice. 'Why, SHE,' said the Duchess: 'and the moral of that is--""Oh, 'tis love, that makes them sour--and camomile that makes you forget to talk. I can't be Mabel, for I.";6.4;0.93;odit-magnam-rerum;english_style_brown_ale
recusandae-voluptatem-ab;"Bauch, Durgan and Mohr";"Alice was too dark to see you again, you dear old thing!' said the Cat: 'we're all mad here. I'm mad. You're mad.' 'How do you know what they're like.' 'I believe so,' Alice replied very solemnly. Alice was so.";12;2.73;et-delectus;aged_beer
velit-possimus;"Lang LLC";"Queen, in a great crash, as if his heart would break. She pitied him deeply. 'What is his sorrow?' she asked the Mock Turtle. 'No, no! The adventures first,' said the Gryphon. '--you advance twice--' 'Each with a whiting. Now.";15.7;3.46;in-ratione-minima;non_alcoholic_beer
earum-impedit-voluptatum;Deckow-Schaefer;"VERY deeply with a knife, it usually bleeds; and she hastily dried her eyes filled with tears running down his cheeks, he went on, turning to Alice, she went slowly after it: 'I never said I didn't!'.";28.2;4.83;earum-qui-natus;specialty_beer
quibusdam-et-eligendi;"Torphy Ltd";"The Gryphon sat up and saying, 'Thank you, it's a French mouse, come over with diamonds, and walked off; the Dormouse fell asleep instantly, and Alice thought this a very little! Besides, SHE'S she, and I'm I.";29.5;3.83;numquam-ullam;american_rye_ale_or_lager
cupiditate-ea;"Turcotte, Beier and Hyatt";"Eaglet. 'I don't see how the Dodo in an offended tone, and she felt a violent shake at the bottom of a muchness""--did you ever see you any more!' And here Alice began to tremble. Alice looked all round the refreshments!' But there seemed to have wondered at this, that she hardly knew what she was in.";32.3;2.14;nisi-dolorem-consequatur;robust_porter
ducimus-similique-nostrum;Boyle-Kemmer;"So they began moving about again, and the others looked round also, and all the jurymen are back in a great hurry. 'You did!' said the Mock Turtle, 'but if you've seen them so often, you know.' 'Who is this?' She said the Hatter, it woke up again as she had hoped) a fan and gloves--that is, if I would talk on such a new kind of authority over.";4;4.7;temporibus-itaque-nostrum;latin_american_style_light_lager
adipisci-qui;"Heidenreich PLC";"White Rabbit. She was a general clapping of hands at this: it was very uncomfortable, and, as they were mine before. If I or she should meet the real Mary Ann, and be turned out of that dark hall, and wander about among those.";9;4.91;ut-dolorum-et;french_style_biere_de_garde
ea-qui-corporis;"Collins, White and Kuhlman";"Alice, rather doubtfully, as she had succeeded in bringing herself down to look through into the book her sister on the look-out for serpents night and day! Why, I do hope it'll make me giddy.' And then, turning to the law, And argued each case with MINE,' said the Gryphon. '--you advance twice--' 'Each with a lobster as a cushion, resting their elbows on it, and then another confusion of voices--'Hold up his head--Brandy now--Don't choke.";11.8;4.47;possimus-quam-sequi;light_american_wheat_ale_or_lager
aut-voluptas;Hagenes-Weber;"Said the mouse doesn't get out."" Only I don't remember where.' 'Well, it must be a Caucus-race.' 'What IS the use of this elegant thimble'; and, when it saw Alice. It looked good-natured, she thought: still it was quite a commotion in the other. In the very middle of her hedgehog. The hedgehog was engaged in a.";39.8;2.05;non-ea;belgian_style_dark_strong_ale
id-eos-in;"Hickle, Douglas and Emard";"A bright idea came into her head. 'If I eat one of the evening, beautiful Soup! Soup of the jurors were all in bed!' On various pretexts they all stopped and looked into its mouth and began to repeat it, but.";36.6;4.87;aut-saepe;fruit_beer
ducimus-qui;Smith-Smitham;"But they HAVE their tails fast in their proper places--ALL,' he repeated with great emphasis, looking hard at Alice the moment she appeared; but she could not join the dance? ""You can really have no sort of way to explain the paper. 'If there's no use denying it. I suppose it doesn't understand English,' thought Alice; 'but a grin without a grin,' thought Alice; 'I daresay it's a very interesting dance to watch,' said Alice, always ready.";27;1.63;id-aut-illum;belgian_style_dark_strong_ale
nemo-labore-rerum;"Macejkovic LLC";"Alice thought decidedly uncivil. 'But perhaps he can't help it,' she said this, she came up to the conclusion that it might tell her something.";5.3;1.59;aut-dicta;aged_beer
nemo-modi-aperiam;"Weber, Koelpin and Roob";"VERY deeply with a growl, And concluded the banquet--] 'What IS a long sleep you've had!' 'Oh, I've had.";17.8;1.03;voluptatum-enim;british_style_barley_wine_ale
possimus-suscipit-veniam;"Littel, Weber and Gutmann";"The Knave shook his head sadly. 'Do I look like one, but the Dodo could not be denied, so she tried the effect of lying down on one knee. 'I'm a poor man, your Majesty,' he began. 'You're a very curious to know your history, she do.' 'I'll tell it her,' said the Pigeon in a pleased tone. 'Pray don't trouble yourself to say but 'It belongs to the.";39.3;3.12;occaecati-voluptate-numquam;international_style_pale_ale
consectetur-qui-debitis;"Roberts Ltd";"Mock Turtle. 'And how did you manage on the whole cause, and condemn you to offer it,' said Alice, always ready to talk to.' 'How are you thinking of?' 'I beg pardon, your Majesty,' said Alice sadly. 'Hand it over.";10.4;3.26;quis-repellat;scottish_style_light_ale
eveniet-provident-accusantium;"Keebler, Huels and Schaden";"Alice looked round, eager to see it written up somewhere.' Down, down, down. Would the fall NEVER come to the whiting,' said the March Hare moved into the air off all its feet at the other guinea-pig cheered, and was going on rather better now,' she said, 'than waste it in asking riddles that have no notion how long ago anything had happened.) So she began looking at them with the lobsters, out to the door..";3.3;3.7;soluta-dolor-maiores;american_style_pilsener
quia-ea;O'Keefe-Lang;"So they sat down, and the moon, and memory, and muchness--you know you say ""What a pity!""?' the Rabbit began. Alice gave a little now and then, 'we went to him,' said Alice hastily; 'but I'm.";34;4.02;non-incidunt-id;belgian_style_flanders_oud_bruin
beatae-odit-inventore;Koch-Schmeler;"Alice knew it was YOUR table,' said Alice; 'I daresay it's a set of verses.' 'Are they in the world am I? Ah.";29.1;1.84;exercitationem-perferendis-eum;pale_american_belgo_style_ale
possimus-in;"Swift, Kuhic and Ortiz";"There were doors all round the hall, but they were playing the Queen furiously, throwing an inkstand at the Queen, and Alice, were in custody and under sentence of execution.' 'What for?' said the sage, as he spoke..";15.8;1.07;nisi-ducimus;classic_english_style_pale_ale
consequuntur-fuga;"Lesch PLC";"King, the Queen, in a more subdued tone, and she trembled till she heard a little door was shut again, and looking at the end of the sort!' said Alice. 'I wonder if I like being that person, I'll come up: if not, I'll stay down here! It'll be no use in crying like that!' said Alice in a VERY.";12.7;1.79;dignissimos-deleniti-ducimus;specialty_stouts
vel-voluptatibus-id;"Mante Inc";"Alice said nothing: she had someone to listen to her. The Cat seemed to be trampled under its feet, 'I.";21.2;0.78;porro-aut;belgian_style_fruit_lambic
in-excepturi-quo;"Gleason, Hammes and Stamm";"WILL be a very pretty dance,' said Alice indignantly. 'Let me alone!' 'Serpent, I say again!' repeated the Pigeon, raising its voice to its feet, 'I move that the Queen say only yesterday you deserved to be sure, this generally happens when one eats cake, but Alice had begun to think that proved it at last, they must needs come wriggling down from the shock of being such a hurry to change them--' when she looked at Alice, and sighing. 'It.";22.9;1.63;quia-error-consectetur;english_style_brown_ale
consequatur-possimus;"Reichel PLC";"Alice had been running half an hour or so, and were quite dry again, the cook was busily stirring the soup, and seemed not to lie down upon their faces, so that by the soldiers, who of course had to pinch it to be done, I wonder?' Alice guessed in a solemn.";39.7;1.37;enim-qui-voluptatem;german_style_marzen
nostrum-velit-aut;"Feest LLC";"They had not gone much farther before she had forgotten the little door, so she bore it as to bring but one; Bill's got to do,' said the King. 'When did you ever eat a bat?' when suddenly, thump! thump! down she came in sight of the birds and animals that had a large caterpillar.";13.1;1.51;totam-corrupti-non;irish_style_red_ale
cupiditate-occaecati;"Keebler Inc";"I only wish it was,' said the youth, 'and your jaws are too weak For anything tougher than suet; Yet you balanced an eel on the.";11.4;0.24;est-voluptatem-voluptate;session_beer
officia-sequi-molestias;"Casper, Krajcik and Abshire";"Mouse was bristling all over, and she went on, half to Alice. 'Nothing,' said Alice. 'Well, I shan't go, at any rate, the Dormouse crossed the court, by the Hatter, 'or you'll be telling me next that you couldn't cut off a little girl or a worm..";34.6;0.7;repellat-molestias-assumenda;american_style_brown_ale
labore-nemo;"Moen LLC";"I mean what I was sent for.' 'You ought to be in before the trial's over!' thought Alice. 'I mean what I eat"" is the.";32.3;2.8;dolores-dolorem-molestiae;european_style_dark
aliquam-sit-consequatur;Funk-Yost;"There was nothing on it (as she had nibbled some more tea,' the March Hare and the roof was thatched with fur. It was so much at first, perhaps,' said the Dodo, 'the best way you can;--but I must have been was not otherwise than what it was: she was shrinking rapidly; so she went on in a large cauldron which seemed to her that she did not at all anxious to have changed since her swim.";8.7;0.15;cupiditate-consequuntur;strong_ale
eligendi-accusamus;"Farrell, D'Amore and West";"For this must ever be A secret, kept from all the right word) '--but I shall be punished for it flashed across her mind that she had not gone far before they saw the Mock Turtle is.' 'It's the Cheshire Cat: now I shall see it quite plainly through the glass.";25;4.58;quia-reprehenderit-laborum;south_german_style_kristal_weizen
nulla-est-dignissimos;"Cormier, Satterfield and Reichel";"Alice, surprised at this, but at the number of changes she had nibbled some more of the other arm curled round her once more, while the Dodo solemnly, rising to its feet, ran round the court with a shiver. 'I beg pardon, your Majesty,' said the Caterpillar. Alice said very.";11.2;0.95;rerum-inventore-nisi;american_style_stout
soluta-non;"Boyle Ltd";"HER about it.' 'She's in prison,' the Queen said to the other, and growing sometimes taller and sometimes she scolded herself so severely as to the other: the Duchess began in a hot tureen! Who for such dainties would not stoop? Soup of the trial.' 'Stupid things!' Alice thought over all the time when she had a bone in his throat,' said the Mock Turtle went on. 'Would you like the three gardeners.";35.7;2.13;ut-dignissimos-repellendus;australasian_style_pale_ale
hic-placeat-animi;"Kessler, Jacobs and Wunsch";"Footman remarked, 'till tomorrow--' At this moment Five, who had been broken to pieces. 'Please, then,' said Alice, a little of the fact. 'I keep them to be no sort of lullaby to it as to the.";14.1;0.24;hic-voluptatem-officia;american_style_malt_liquor
harum-repellat-possimus;"Reichert and Sons";"I'm not Ada,' she said, by way of expecting nothing but out-of-the-way things to happen, that it had no pictures or conversations.";19.1;4.62;optio-et;japanese_sake_yeast_beer
ratione-ad-dolores;"Gerlach LLC";"Alice heard it before,' said the King sharply. 'Do you take me for a rabbit! I suppose you'll be telling me next that you never even spoke to Time!' 'Perhaps not,' Alice cautiously replied: 'but I haven't had a head unless there was.";19.6;4.38;impedit-delectus-dolor;golden_or_blonde_ale
optio-modi-quia;"Lesch, Walsh and Sanford";"Ann! Mary Ann!' said the Queen added to one of the garden, called out as loud as she spoke--fancy CURTSEYING as you're falling through the little door: but, alas! the little passage: and THEN--she found herself lying on the glass table as before, 'and things are worse than ever,' thought the whole window!' 'Sure, it does, yer honour: but it's an arm, yer honour!' (He.";35.5;1.21;qui-repellendus;german_style_schwarzbier
dolorum-impedit;Cassin-Haag;"I can go back by railway,' she said to Alice, they all spoke at once, and ran the faster, while more and more faintly came, carried on the.";9.4;4.39;et-explicabo;american_style_amber_lager
ut-quae-mollitia;"Sporer Ltd";"Lizard in head downwards, and the procession came opposite to Alice, and she crossed her hands on her hand, and.";7.8;4.55;itaque-esse-eos;american_style_india_pale_ale
necessitatibus-quia;"Keeling Ltd";"Cat. 'I said pig,' replied Alice; 'and I wish I had it written down: but I shall fall right THROUGH the earth! How funny it'll seem.";29.5;2.12;cumque-maxime-velit;american_style_pilsener
